date,trends_index,keyword,region,keyword_en
2014-07-01,3,دينار,IL,Denar
2014-08-01,4,دينار,IL,Denar
2014-09-01,4,دينار,IL,Denar
2014-10-01,4,دينار,IL,Denar
2014-11-01,2,دينار,IL,Denar
2014-12-01,4,دينار,IL,Denar
2015-01-01,4,دينار,IL,Denar
2015-02-01,1,دينار,IL,Denar
2015-03-01,3,دينار,IL,Denar
2015-04-01,3,دينار,IL,Denar
2015-05-01,5,دينار,IL,Denar
2015-06-01,3,دينار,IL,Denar
2015-07-01,4,دينار,IL,Denar
2015-08-01,5,دينار,IL,Denar
2015-09-01,4,دينار,IL,Denar
2015-10-01,7,دينار,IL,Denar
2015-11-01,8,دينار,IL,Denar
2015-12-01,4,دينار,IL,Denar
2016-01-01,6,دينار,IL,Denar
2016-02-01,7,دينار,IL,Denar
2016-03-01,2,دينار,IL,Denar
2016-04-01,10,دينار,IL,Denar
2016-05-01,7,دينار,IL,Denar
2016-06-01,9,دينار,IL,Denar
2016-07-01,7,دينار,IL,Denar
2016-08-01,6,دينار,IL,Denar
2016-09-01,9,دينار,IL,Denar
2016-10-01,12,دينار,IL,Denar
2016-11-01,13,دينار,IL,Denar
2016-12-01,8,دينار,IL,Denar
2017-01-01,8,دينار,IL,Denar
2017-02-01,9,دينار,IL,Denar
2017-03-01,6,دينار,IL,Denar
2017-04-01,5,دينار,IL,Denar
2017-05-01,5,دينار,IL,Denar
2017-06-01,8,دينار,IL,Denar
2017-07-01,7,دينار,IL,Denar
2017-08-01,8,دينار,IL,Denar
2017-09-01,11,دينار,IL,Denar
2017-10-01,7,دينار,IL,Denar
2017-11-01,5,دينار,IL,Denar
2017-12-01,8,دينار,IL,Denar
2018-01-01,7,دينار,IL,Denar
2018-02-01,9,دينار,IL,Denar
2018-03-01,8,دينار,IL,Denar
2018-04-01,8,دينار,IL,Denar
2018-05-01,5,دينار,IL,Denar
2018-06-01,8,دينار,IL,Denar
2018-07-01,10,دينار,IL,Denar
2018-08-01,12,دينار,IL,Denar
2018-09-01,12,دينار,IL,Denar
2018-10-01,9,دينار,IL,Denar
2018-11-01,9,دينار,IL,Denar
2018-12-01,13,دينار,IL,Denar
2019-01-01,14,دينار,IL,Denar
2019-02-01,13,دينار,IL,Denar
2019-03-01,11,دينار,IL,Denar
2019-04-01,13,دينار,IL,Denar
2019-05-01,12,دينار,IL,Denar
2019-06-01,9,دينار,IL,Denar
2019-07-01,13,دينار,IL,Denar
2019-08-01,18,دينار,IL,Denar
2019-09-01,12,دينار,IL,Denar
2019-10-01,12,دينار,IL,Denar
2019-11-01,11,دينار,IL,Denar
2019-12-01,11,دينار,IL,Denar
2020-01-01,15,دينار,IL,Denar
2020-02-01,16,دينار,IL,Denar
2020-03-01,20,دينار,IL,Denar
2020-04-01,15,دينار,IL,Denar
2020-05-01,18,دينار,IL,Denar
2020-06-01,15,دينار,IL,Denar
2020-07-01,19,دينار,IL,Denar
2020-08-01,21,دينار,IL,Denar
2020-09-01,21,دينار,IL,Denar
2020-10-01,26,دينار,IL,Denar
2020-11-01,20,دينار,IL,Denar
2020-12-01,29,دينار,IL,Denar
2021-01-01,28,دينار,IL,Denar
2021-02-01,29,دينار,IL,Denar
2021-03-01,31,دينار,IL,Denar
2021-04-01,29,دينار,IL,Denar
2021-05-01,32,دينار,IL,Denar
2021-06-01,34,دينار,IL,Denar
2021-07-01,37,دينار,IL,Denar
2021-08-01,44,دينار,IL,Denar
2021-09-01,51,دينار,IL,Denar
2021-10-01,48,دينار,IL,Denar
2021-11-01,55,دينار,IL,Denar
2021-12-01,57,دينار,IL,Denar
2022-01-01,49,دينار,IL,Denar
2022-02-01,67,دينار,IL,Denar
2022-03-01,71,دينار,IL,Denar
2022-04-01,61,دينار,IL,Denar
2022-05-01,78,دينار,IL,Denar
2022-06-01,93,دينار,IL,Denar
2022-07-01,89,دينار,IL,Denar
2022-08-01,100,دينار,IL,Denar
2022-09-01,76,دينار,IL,Denar
2022-10-01,45,دينار,IL,Denar
2022-11-01,32,دينار,IL,Denar
2022-12-01,34,دينار,IL,Denar
2023-01-01,42,دينار,IL,Denar
2023-02-01,38,دينار,IL,Denar
2023-03-01,41,دينار,IL,Denar
2023-04-01,45,دينار,IL,Denar
2023-05-01,39,دينار,IL,Denar
2004-01-01,0,دونغ,IL,Dong
2004-02-01,0,دونغ,IL,Dong
2004-03-01,0,دونغ,IL,Dong
2004-04-01,0,دونغ,IL,Dong
2004-05-01,0,دونغ,IL,Dong
2004-06-01,0,دونغ,IL,Dong
2004-07-01,0,دونغ,IL,Dong
2004-08-01,0,دونغ,IL,Dong
2004-09-01,0,دونغ,IL,Dong
2004-10-01,0,دونغ,IL,Dong
2004-11-01,0,دونغ,IL,Dong
2004-12-01,100,دونغ,IL,Dong
2005-01-01,0,دونغ,IL,Dong
2005-02-01,0,دونغ,IL,Dong
2005-03-01,0,دونغ,IL,Dong
2005-04-01,31,دونغ,IL,Dong
2005-05-01,40,دونغ,IL,Dong
2005-06-01,0,دونغ,IL,Dong
2005-07-01,0,دونغ,IL,Dong
2005-08-01,28,دونغ,IL,Dong
2005-09-01,0,دونغ,IL,Dong
2005-10-01,0,دونغ,IL,Dong
2005-11-01,0,دونغ,IL,Dong
2005-12-01,0,دونغ,IL,Dong
2006-01-01,25,دونغ,IL,Dong
2006-02-01,0,دونغ,IL,Dong
2006-03-01,0,دونغ,IL,Dong
2006-04-01,18,دونغ,IL,Dong
2006-05-01,44,دونغ,IL,Dong
2006-06-01,22,دونغ,IL,Dong
2006-07-01,0,دونغ,IL,Dong
2006-08-01,0,دونغ,IL,Dong
2006-09-01,0,دونغ,IL,Dong
2006-10-01,0,دونغ,IL,Dong
2006-11-01,0,دونغ,IL,Dong
2006-12-01,0,دونغ,IL,Dong
2007-01-01,0,دونغ,IL,Dong
2007-02-01,0,دونغ,IL,Dong
2007-03-01,0,دونغ,IL,Dong
2007-04-01,0,دونغ,IL,Dong
2007-05-01,0,دونغ,IL,Dong
2007-06-01,0,دونغ,IL,Dong
2007-07-01,0,دونغ,IL,Dong
2007-08-01,0,دونغ,IL,Dong
2007-09-01,13,دونغ,IL,Dong
2007-10-01,0,دونغ,IL,Dong
2007-11-01,0,دونغ,IL,Dong
2007-12-01,0,دونغ,IL,Dong
2008-01-01,0,دونغ,IL,Dong
2008-02-01,0,دونغ,IL,Dong
2008-03-01,11,دونغ,IL,Dong
2008-04-01,0,دونغ,IL,Dong
2008-05-01,0,دونغ,IL,Dong
2008-06-01,0,دونغ,IL,Dong
2008-07-01,0,دونغ,IL,Dong
2008-08-01,0,دونغ,IL,Dong
2008-09-01,0,دونغ,IL,Dong
2008-10-01,0,دونغ,IL,Dong
2008-11-01,0,دونغ,IL,Dong
2008-12-01,0,دونغ,IL,Dong
2009-01-01,0,دونغ,IL,Dong
2009-02-01,0,دونغ,IL,Dong
2009-03-01,0,دونغ,IL,Dong
2009-04-01,0,دونغ,IL,Dong
2009-05-01,0,دونغ,IL,Dong
2009-06-01,0,دونغ,IL,Dong
2009-07-01,8,دونغ,IL,Dong
2009-08-01,0,دونغ,IL,Dong
2009-09-01,0,دونغ,IL,Dong
2009-10-01,0,دونغ,IL,Dong
2009-11-01,0,دونغ,IL,Dong
2009-12-01,13,دونغ,IL,Dong
2010-01-01,9,دونغ,IL,Dong
2010-02-01,20,دونغ,IL,Dong
2010-03-01,0,دونغ,IL,Dong
2010-04-01,0,دونغ,IL,Dong
2010-05-01,0,دونغ,IL,Dong
2010-06-01,0,دونغ,IL,Dong
2010-07-01,6,دونغ,IL,Dong
2010-08-01,0,دونغ,IL,Dong
2010-09-01,0,دونغ,IL,Dong
2010-10-01,9,دونغ,IL,Dong
2010-11-01,5,دونغ,IL,Dong
2010-12-01,0,دونغ,IL,Dong
2011-01-01,0,دونغ,IL,Dong
2011-02-01,0,دونغ,IL,Dong
2011-03-01,3,دونغ,IL,Dong
2011-04-01,0,دونغ,IL,Dong
2011-05-01,0,دونغ,IL,Dong
2011-06-01,0,دونغ,IL,Dong
2011-07-01,6,دونغ,IL,Dong
2011-08-01,0,دونغ,IL,Dong
2011-09-01,0,دونغ,IL,Dong
2011-10-01,0,دونغ,IL,Dong
2011-11-01,4,دونغ,IL,Dong
2011-12-01,0,دونغ,IL,Dong
2012-01-01,0,دونغ,IL,Dong
2012-02-01,0,دونغ,IL,Dong
2012-03-01,0,دونغ,IL,Dong
2012-04-01,0,دونغ,IL,Dong
2012-05-01,0,دونغ,IL,Dong
2012-06-01,0,دونغ,IL,Dong
2012-07-01,0,دونغ,IL,Dong
2012-08-01,0,دونغ,IL,Dong
2012-09-01,4,دونغ,IL,Dong
2012-10-01,0,دونغ,IL,Dong
2012-11-01,0,دونغ,IL,Dong
2012-12-01,0,دونغ,IL,Dong
2013-01-01,0,دونغ,IL,Dong
2013-02-01,0,دونغ,IL,Dong
2013-03-01,0,دونغ,IL,Dong
2013-04-01,0,دونغ,IL,Dong
2013-05-01,0,دونغ,IL,Dong
2013-06-01,0,دونغ,IL,Dong
2013-07-01,0,دونغ,IL,Dong
2013-08-01,0,دونغ,IL,Dong
2013-09-01,0,دونغ,IL,Dong
2013-10-01,0,دونغ,IL,Dong
2013-11-01,0,دونغ,IL,Dong
2013-12-01,0,دونغ,IL,Dong
2014-01-01,4,دونغ,IL,Dong
2014-02-01,6,دونغ,IL,Dong
2014-03-01,0,دونغ,IL,Dong
2014-04-01,0,دونغ,IL,Dong
2014-05-01,0,دونغ,IL,Dong
2014-06-01,0,دونغ,IL,Dong
2014-07-01,0,دونغ,IL,Dong
2014-08-01,0,دونغ,IL,Dong
2014-09-01,0,دونغ,IL,Dong
2014-10-01,3,دونغ,IL,Dong
2014-11-01,0,دونغ,IL,Dong
2014-12-01,0,دونغ,IL,Dong
2015-01-01,0,دونغ,IL,Dong
2015-02-01,0,دونغ,IL,Dong
2015-03-01,0,دونغ,IL,Dong
2015-04-01,0,دونغ,IL,Dong
2015-05-01,5,دونغ,IL,Dong
2015-06-01,0,دونغ,IL,Dong
2015-07-01,0,دونغ,IL,Dong
2015-08-01,2,دونغ,IL,Dong
2015-09-01,2,دونغ,IL,Dong
2015-10-01,0,دونغ,IL,Dong
2015-11-01,0,دونغ,IL,Dong
2015-12-01,0,دونغ,IL,Dong
2016-01-01,2,دونغ,IL,Dong
2016-02-01,2,دونغ,IL,Dong
2016-03-01,0,دونغ,IL,Dong
2016-04-01,2,دونغ,IL,Dong
2016-05-01,0,دونغ,IL,Dong
2016-06-01,5,دونغ,IL,Dong
2016-07-01,0,دونغ,IL,Dong
2016-08-01,3,دونغ,IL,Dong
2016-09-01,0,دونغ,IL,Dong
2016-10-01,0,دونغ,IL,Dong
2016-11-01,0,دونغ,IL,Dong
2016-12-01,0,دونغ,IL,Dong
2017-01-01,0,دونغ,IL,Dong
2017-02-01,0,دونغ,IL,Dong
2017-03-01,0,دونغ,IL,Dong
2017-04-01,0,دونغ,IL,Dong
2017-05-01,0,دونغ,IL,Dong
2017-06-01,0,دونغ,IL,Dong
2017-07-01,0,دونغ,IL,Dong
2017-08-01,0,دونغ,IL,Dong
2017-09-01,7,دونغ,IL,Dong
2017-10-01,0,دونغ,IL,Dong
2017-11-01,0,دونغ,IL,Dong
2017-12-01,0,دونغ,IL,Dong
2018-01-01,0,دونغ,IL,Dong
2018-02-01,0,دونغ,IL,Dong
2018-03-01,0,دونغ,IL,Dong
2018-04-01,4,دونغ,IL,Dong
2018-05-01,0,دونغ,IL,Dong
2018-06-01,5,دونغ,IL,Dong
2018-07-01,0,دونغ,IL,Dong
2018-08-01,0,دونغ,IL,Dong
2018-09-01,0,دونغ,IL,Dong
2018-10-01,2,دونغ,IL,Dong
2018-11-01,0,دونغ,IL,Dong
2018-12-01,3,دونغ,IL,Dong
2019-01-01,0,دونغ,IL,Dong
2019-02-01,0,دونغ,IL,Dong
2019-03-01,0,دونغ,IL,Dong
2019-04-01,3,دونغ,IL,Dong
2019-05-01,0,دونغ,IL,Dong
2019-06-01,0,دونغ,IL,Dong
2019-07-01,0,دونغ,IL,Dong
2019-08-01,0,دونغ,IL,Dong
2019-09-01,4,دونغ,IL,Dong
2019-10-01,0,دونغ,IL,Dong
2019-11-01,0,دونغ,IL,Dong
2019-12-01,2,دونغ,IL,Dong
2020-01-01,0,دونغ,IL,Dong
2020-02-01,0,دونغ,IL,Dong
2020-03-01,0,دونغ,IL,Dong
2020-04-01,0,دونغ,IL,Dong
2020-05-01,0,دونغ,IL,Dong
2020-06-01,0,دونغ,IL,Dong
2020-07-01,0,دونغ,IL,Dong
2020-08-01,0,دونغ,IL,Dong
2020-09-01,0,دونغ,IL,Dong
2020-10-01,0,دونغ,IL,Dong
2020-11-01,5,دونغ,IL,Dong
2020-12-01,3,دونغ,IL,Dong
2021-01-01,2,دونغ,IL,Dong
2021-02-01,0,دونغ,IL,Dong
2021-03-01,0,دونغ,IL,Dong
2021-04-01,2,دونغ,IL,Dong
2021-05-01,4,دونغ,IL,Dong
2021-06-01,0,دونغ,IL,Dong
2021-07-01,2,دونغ,IL,Dong
2021-08-01,2,دونغ,IL,Dong
2021-09-01,4,دونغ,IL,Dong
2021-10-01,3,دونغ,IL,Dong
2021-11-01,2,دونغ,IL,Dong
2021-12-01,0,دونغ,IL,Dong
2022-01-01,0,دونغ,IL,Dong
2022-02-01,3,دونغ,IL,Dong
2022-03-01,3,دونغ,IL,Dong
2022-04-01,0,دونغ,IL,Dong
2022-05-01,0,دونغ,IL,Dong
2022-06-01,0,دونغ,IL,Dong
2022-07-01,0,دونغ,IL,Dong
2022-08-01,5,دونغ,IL,Dong
2022-09-01,1,دونغ,IL,Dong
2022-10-01,2,دونغ,IL,Dong
2022-11-01,0,دونغ,IL,Dong
2022-12-01,0,دونغ,IL,Dong
2023-01-01,0,دونغ,IL,Dong
2023-02-01,0,دونغ,IL,Dong
2023-03-01,1,دونغ,IL,Dong
2023-04-01,8,دونغ,IL,Dong
2023-05-01,0,دونغ,IL,Dong
2004-01-01,0,لاري,IL,Lari
2004-02-01,0,لاري,IL,Lari
2004-03-01,0,لاري,IL,Lari
2004-04-01,0,لاري,IL,Lari
2004-05-01,0,لاري,IL,Lari
2004-06-01,0,لاري,IL,Lari
2004-07-01,0,لاري,IL,Lari
2004-08-01,0,لاري,IL,Lari
2004-09-01,0,لاري,IL,Lari
2004-10-01,0,لاري,IL,Lari
2004-11-01,0,لاري,IL,Lari
2004-12-01,70,لاري,IL,Lari
2005-01-01,0,لاري,IL,Lari
2005-02-01,0,لاري,IL,Lari
2005-03-01,0,لاري,IL,Lari
2005-04-01,71,لاري,IL,Lari
2005-05-01,0,لاري,IL,Lari
2005-06-01,0,لاري,IL,Lari
2005-07-01,100,لاري,IL,Lari
2005-08-01,0,لاري,IL,Lari
2005-09-01,0,لاري,IL,Lari
2005-10-01,0,لاري,IL,Lari
2005-11-01,0,لاري,IL,Lari
2005-12-01,0,لاري,IL,Lari
2006-01-01,0,لاري,IL,Lari
2006-02-01,0,لاري,IL,Lari
2006-03-01,58,لاري,IL,Lari
2006-04-01,0,لاري,IL,Lari
2006-05-01,0,لاري,IL,Lari
2006-06-01,0,لاري,IL,Lari
2006-07-01,61,لاري,IL,Lari
2006-08-01,0,لاري,IL,Lari
2006-09-01,0,لاري,IL,Lari
2006-10-01,0,لاري,IL,Lari
2006-11-01,0,لاري,IL,Lari
2006-12-01,41,لاري,IL,Lari
2007-01-01,35,لاري,IL,Lari
2007-02-01,0,لاري,IL,Lari
2007-03-01,0,لاري,IL,Lari
2007-04-01,0,لاري,IL,Lari
2007-05-01,0,لاري,IL,Lari
2007-06-01,0,لاري,IL,Lari
2007-07-01,0,لاري,IL,Lari
2007-08-01,0,لاري,IL,Lari
2007-09-01,48,لاري,IL,Lari
2007-10-01,0,لاري,IL,Lari
2007-11-01,0,لاري,IL,Lari
2007-12-01,0,لاري,IL,Lari
2008-01-01,0,لاري,IL,Lari
2008-02-01,0,لاري,IL,Lari
2008-03-01,0,لاري,IL,Lari
2008-04-01,25,لاري,IL,Lari
2008-05-01,38,لاري,IL,Lari
2008-06-01,0,لاري,IL,Lari
2008-07-01,0,لاري,IL,Lari
2008-08-01,0,لاري,IL,Lari
2008-09-01,0,لاري,IL,Lari
2008-10-01,0,لاري,IL,Lari
2008-11-01,0,لاري,IL,Lari
2008-12-01,0,لاري,IL,Lari
2009-01-01,0,لاري,IL,Lari
2009-02-01,0,لاري,IL,Lari
2009-03-01,0,لاري,IL,Lari
2009-04-01,0,لاري,IL,Lari
2009-05-01,0,لاري,IL,Lari
2009-06-01,0,لاري,IL,Lari
2009-07-01,0,لاري,IL,Lari
2009-08-01,14,لاري,IL,Lari
2009-09-01,51,لاري,IL,Lari
2009-10-01,0,لاري,IL,Lari
2009-11-01,0,لاري,IL,Lari
2009-12-01,0,لاري,IL,Lari
2010-01-01,0,لاري,IL,Lari
2010-02-01,0,لاري,IL,Lari
2010-03-01,18,لاري,IL,Lari
2010-04-01,0,لاري,IL,Lari
2010-05-01,12,لاري,IL,Lari
2010-06-01,0,لاري,IL,Lari
2010-07-01,0,لاري,IL,Lari
2010-08-01,0,لاري,IL,Lari
2010-09-01,0,لاري,IL,Lari
2010-10-01,12,لاري,IL,Lari
2010-11-01,0,لاري,IL,Lari
2010-12-01,0,لاري,IL,Lari
2011-01-01,0,لاري,IL,Lari
2011-02-01,0,لاري,IL,Lari
2011-03-01,0,لاري,IL,Lari
2011-04-01,10,لاري,IL,Lari
2011-05-01,10,لاري,IL,Lari
2011-06-01,0,لاري,IL,Lari
2011-07-01,11,لاري,IL,Lari
2011-08-01,0,لاري,IL,Lari
2011-09-01,0,لاري,IL,Lari
2011-10-01,0,لاري,IL,Lari
2011-11-01,0,لاري,IL,Lari
2011-12-01,0,لاري,IL,Lari
2012-01-01,0,لاري,IL,Lari
2012-02-01,15,لاري,IL,Lari
2012-03-01,15,لاري,IL,Lari
2012-04-01,0,لاري,IL,Lari
2012-05-01,0,لاري,IL,Lari
2012-06-01,0,لاري,IL,Lari
2012-07-01,0,لاري,IL,Lari
2012-08-01,15,لاري,IL,Lari
2012-09-01,0,لاري,IL,Lari
2012-10-01,0,لاري,IL,Lari
2012-11-01,0,لاري,IL,Lari
2012-12-01,0,لاري,IL,Lari
2013-01-01,0,لاري,IL,Lari
2013-02-01,0,لاري,IL,Lari
2013-03-01,22,لاري,IL,Lari
2013-04-01,5,لاري,IL,Lari
2013-05-01,6,لاري,IL,Lari
2013-06-01,0,لاري,IL,Lari
2013-07-01,0,لاري,IL,Lari
2013-08-01,0,لاري,IL,Lari
2013-09-01,6,لاري,IL,Lari
2013-10-01,0,لاري,IL,Lari
2013-11-01,0,لاري,IL,Lari
2013-12-01,0,لاري,IL,Lari
2014-01-01,4,لاري,IL,Lari
2014-02-01,5,لاري,IL,Lari
2014-03-01,6,لاري,IL,Lari
2014-04-01,0,لاري,IL,Lari
2014-05-01,0,لاري,IL,Lari
2014-06-01,14,لاري,IL,Lari
2014-07-01,0,لاري,IL,Lari
2014-08-01,9,لاري,IL,Lari
2014-09-01,0,لاري,IL,Lari
2014-10-01,0,لاري,IL,Lari
2014-11-01,0,لاري,IL,Lari
2014-12-01,0,لاري,IL,Lari
2015-01-01,0,لاري,IL,Lari
2015-02-01,0,لاري,IL,Lari
2015-03-01,0,لاري,IL,Lari
2015-04-01,0,لاري,IL,Lari
2015-05-01,0,لاري,IL,Lari
2015-06-01,0,لاري,IL,Lari
2015-07-01,9,لاري,IL,Lari
2015-08-01,7,لاري,IL,Lari
2015-09-01,0,لاري,IL,Lari
2015-10-01,6,لاري,IL,Lari
2015-11-01,0,لاري,IL,Lari
2015-12-01,0,لاري,IL,Lari
2016-01-01,7,لاري,IL,Lari
2016-02-01,0,لاري,IL,Lari
2016-03-01,0,لاري,IL,Lari
2016-04-01,0,لاري,IL,Lari
2016-05-01,0,لاري,IL,Lari
2016-06-01,21,لاري,IL,Lari
2016-07-01,11,لاري,IL,Lari
2016-08-01,6,لاري,IL,Lari
2016-09-01,0,لاري,IL,Lari
2016-10-01,7,لاري,IL,Lari
2016-11-01,8,لاري,IL,Lari
2016-12-01,6,لاري,IL,Lari
2017-01-01,0,لاري,IL,Lari
2017-02-01,8,لاري,IL,Lari
2017-03-01,0,لاري,IL,Lari
2017-04-01,0,لاري,IL,Lari
2017-05-01,0,لاري,IL,Lari
2017-06-01,7,لاري,IL,Lari
2017-07-01,0,لاري,IL,Lari
2017-08-01,4,لاري,IL,Lari
2017-09-01,8,لاري,IL,Lari
2017-10-01,0,لاري,IL,Lari
2017-11-01,0,لاري,IL,Lari
2017-12-01,4,لاري,IL,Lari
2018-01-01,0,لاري,IL,Lari
2018-02-01,0,لاري,IL,Lari
2018-03-01,5,لاري,IL,Lari
2018-04-01,0,لاري,IL,Lari
2018-05-01,0,لاري,IL,Lari
2018-06-01,7,لاري,IL,Lari
2018-07-01,0,لاري,IL,Lari
2018-08-01,8,لاري,IL,Lari
2018-09-01,0,لاري,IL,Lari
2018-10-01,0,لاري,IL,Lari
2018-11-01,0,لاري,IL,Lari
2018-12-01,0,لاري,IL,Lari
2019-01-01,0,لاري,IL,Lari
2019-02-01,5,لاري,IL,Lari
2019-03-01,0,لاري,IL,Lari
2019-04-01,0,لاري,IL,Lari
2019-05-01,0,لاري,IL,Lari
2019-06-01,9,لاري,IL,Lari
2019-07-01,0,لاري,IL,Lari
2019-08-01,4,لاري,IL,Lari
2019-09-01,0,لاري,IL,Lari
2019-10-01,16,لاري,IL,Lari
2019-11-01,0,لاري,IL,Lari
2019-12-01,0,لاري,IL,Lari
2020-01-01,8,لاري,IL,Lari
2020-02-01,0,لاري,IL,Lari
2020-03-01,0,لاري,IL,Lari
2020-04-01,8,لاري,IL,Lari
2020-05-01,0,لاري,IL,Lari
2020-06-01,4,لاري,IL,Lari
2020-07-01,0,لاري,IL,Lari
2020-08-01,0,لاري,IL,Lari
2020-09-01,0,لاري,IL,Lari
2020-10-01,3,لاري,IL,Lari
2020-11-01,0,لاري,IL,Lari
2020-12-01,0,لاري,IL,Lari
2021-01-01,0,لاري,IL,Lari
2021-02-01,0,لاري,IL,Lari
2021-03-01,4,لاري,IL,Lari
2021-04-01,0,لاري,IL,Lari
2021-05-01,5,لاري,IL,Lari
2021-06-01,0,لاري,IL,Lari
2021-07-01,0,لاري,IL,Lari
2021-08-01,5,لاري,IL,Lari
2021-09-01,0,لاري,IL,Lari
2021-10-01,0,لاري,IL,Lari
2021-11-01,9,لاري,IL,Lari
2021-12-01,5,لاري,IL,Lari
2022-01-01,5,لاري,IL,Lari
2022-02-01,0,لاري,IL,Lari
2022-03-01,0,لاري,IL,Lari
2022-04-01,0,لاري,IL,Lari
